,Rating,Title,Review,Review_Date
0,4.0,"The camera quality could be a bit better, and the Battery life could be a lot better","after 4 months of usage, the mobile is very good in terms of stability and managing tasks. but the battery life is not great, using 60HZ refresh rate and all features optimized for the best battery life, The mobile still lasts for only 16-18hrs based on the usage. I am not much of a gamer, and I don't play games much on my mobile. and coming to the camera, comparing it with the rivals this mobile's camera could be a bit better.",Reviewed in India 🇮🇳 on 29 November 2022
1,4.0,NICE PHONE WITH NICE FEATURES BUT BATTERY & BRIGHTNESS SHOULD BE MORE BETTER,"I was searching a smartphone in 25-30k segment checked lot of phones but could not find a good phone with on screen FPS and dedicated sim/MC slot suddenly I checked on google that 1+ is also launching the phones with these features and then I watched an unboxing video and decided to buy this phone the brightness of the display and battery should be more good so it will be definitely more awesome but as per performance and brand of 1+ phone is good in 23000 (including cards discount) the antutu is about to 5lac when the antutu of iphone 12 (Rs 42k cost) is 6.25 lac so this deal is not bad, but if you are planing to buy so just check the phone at the showroom or on ytube.",Reviewed in India 🇮🇳 on 7 November 2022
2,4.0,Awesome product,"It is good product and smoothly run, battery life is also good ,apart from this finally product is awesome in the amount range",Reviewed in India 🇮🇳 on 26 November 2022
3,4.0,Best for elderly people,"Bought in big billion day sale but towards the end. My experience is when Amazon takes time in delivering a product, it will be worth it because they push bad product line in starting and immediate delivery. Gifted my mother (58years), and for an elderly person, this phone is perfect.I was initially confused whether to buy this then went for it after reading reviews that its good for elderly person.I setup the phone before giving to my mother. And I am using oneplus6t constantly since may 2019. So oneplus nord ce 2 lite felt like a power in hand. Super fluid, battery, camera, features.Although I would not recommend this phone for youngsters, but its ok if you want a budget power filled smartphone.",Reviewed in India 🇮🇳 on 8 November 2022
4,4.0,It's good but not over the top.,"So, I am reviewing it after using this device for more than 2 months. The performance is great however there were issues once or twice when it couldn't perform rapidly.The sound quality is 4/5But the camera, I believe could have been better so it's 3.4/5.You can go for it at this budget.",Reviewed in India 🇮🇳 on 24 November 2022
5,4.0,This average phone for this price range nothing to surprise,Average but comara quality is the bestBut last few day I am getting problems with my incoming call to this my number busy shows that time when other person called me,Reviewed in India 🇮🇳 on 24 November 2022
6,4.0,Nice product,"After 3 months, Nice at this price from one plus brand, camera good not best, battery life good and charge little faster, fingerprint not in screen is minus, Budget friendly phone",Reviewed in India 🇮🇳 on 22 November 2022
7,4.0,Value for Money applied,This is very amazing product. Awesome Camera quality but so much noise in night and in low light . Good Battery Backup. Light weight and easy to carry but weak in physical structure.,Reviewed in India 🇮🇳 on 25 November 2022
8,4.0,After 6 months of use,"After the six months of use i would like to say it is a very good phone in this price range but within 6 month of use i am facing few problems like sometime many apps like Paytm, phonepe etc gets crashed as it is opened the contacts are not able to save as well as you cannot make calls sometimes as this app also gets crashing i have noticed this to OnePlus care also but they are clueless hope they'll soon give a update and able to fix this major problem as i don't want to do hard reset.",Reviewed in India 🇮🇳 on 4 November 2022
9,4.0,Works decent,"This pop up got stuck while notifying me...after reboot it has got removed, minor bugs are there still working properly.Sometimes feel screen is not much responsive.",Reviewed in India 🇮🇳 on 24 November 2022
10,4.0,Overall a good product,Using it since 4_5 days and I must say that it does not hangCamera is okayish,Reviewed in India 🇮🇳 on 19 November 2022
11,4.0,Worth of money .,"All over phone is worth compare to money , battery is ok , camera is not that much good ....but all over phone is good",Reviewed in India 🇮🇳 on 23 November 2022
12,4.0,Nice Phone,"A good phone, fast charging sensors, battery life.. but at this price you expect the camera to be better than what it offers. Overall a nice phone.",Reviewed in India 🇮🇳 on 21 November 2022
13,4.0,Splendid phone,Must buy phone if ur using one plus for the very first time get the feel of oxygen os and butter smooth refresh rate u wil not be disappointed with this beauty!!!,Reviewed in India 🇮🇳 on 16 November 2022
14,4.0,Good Phone in this Range,Best phone in this range with good touchscreen in comparison with other phones.,Reviewed in India 🇮🇳 on 23 November 2022
15,4.0,Average,"Product Good, but battery and camera quality is not good, 50% spend in just 5hrs. Screen display. Camera is not also good there is noise into the screen display.",Reviewed in India 🇮🇳 on 19 November 2022
16,4.0,Good one,"*Battery life is decent, if you're a heavy user you'll get a backup of 12-15hrs after 100% charge.But as I'm not a heavy user I'm getting a backup of more than 24 hrs.*Camera is also good, night mode is working good if you have a good light, if not you'll not get satisfaction.*The main issue of this phone is brightness. If you're keeping your brightness level at the lowest then you won't be able to see things properly in the night also.And outdoor you have to keep the brightness high.Which will affect your battery backup.*TIll now I have faced only one issue, which is brightness. But rest all are working fine.",Reviewed in India 🇮🇳 on 2 November 2022
17,4.0,best for light use,overall phone is great but the processor is kinda gives low performancenot gonna recommend for gaming purpose for light use its the best mobile to pick out,Reviewed in India 🇮🇳 on 24 November 2022
18,4.0,Better than expected,"First things first, this is the phone who very easily beats any redmi phone camera in this price range. So we should ignore reviews of redmi agents.Rest arePros :Clean UI,fast processing,fast charging 65 watts,display is very good,sound quality is goodCons:Back panel is plastic",Reviewed in India 🇮🇳 on 8 November 2022
19,4.0,"Good one for buying,","value for money, camera is good slim or light weight set, all good need to improved battery life.",Reviewed in India 🇮🇳 on 17 November 2022
20,4.0,Camera quality is not good...,Battery is good but photo and video quality not satisfactory..,Reviewed in India 🇮🇳 on 21 November 2022
21,4.0,Front camera quality not up to mark,Good phone in this price range. It heats up a little and drains battery little bit faster than expected. It works fine for medium use.,Reviewed in India 🇮🇳 on 20 November 2022
22,4.0,"Satisfactory, Its a nice upgrade, atleast for me , from Realme 1 to OnePlus...","All is good, but battery life could have been better.",Reviewed in India 🇮🇳 on 28 November 2022
23,4.0,Nice phone,Brand wise great phone in this price category,Reviewed in India 🇮🇳 on 22 November 2022
24,4.0,Nice phone for the price..,Finger print sensor not that good and the phone hangs on multitasking,Reviewed in India 🇮🇳 on 28 November 2022
25,4.0,Suspect box was opened,Whn I opened box the phone already had scratch guard fitted..does this phone comes as default scar arch guard fitted?…if not then I suspect my phone box was opened earlier before it was delivered to me,Reviewed in India 🇮🇳 on 21 November 2022
26,4.0,Quite expensive but it’s one plus so..,"One+ has established itself as a brand so paying the premium price for this mobileCamera quality : ok, gets blurred during night and motion quite easilyBattery : good and would last an entire day easilyBody : good looking and ruggedOS : smooth and easy operations",Reviewed in India 🇮🇳 on 12 November 2022
27,4.0,Nice One,It's a nice phone.. i bought it for my brother,Reviewed in India 🇮🇳 on 25 November 2022
28,4.0,The phone is good and very useful,The product is very awesome........,Reviewed in India 🇮🇳 on 25 November 2022
29,4.0,SONY Headphones not connecting,"all average is ok but my Sony earbuds not connecting to this phone, if someone has solution pls let me know",Reviewed in India 🇮🇳 on 21 November 2022
30,4.0,Phone is classic and the Camera is Utter Flop,Reviewing about the phone after being used since 4 months.A phone is awesome and I loved the design and its stability. But the camera is very disappointed element in this phone. Never buy if you are looking for a good camera.Buy if you are looking for a handy and stable phone with premium look body.,15 November 2022
31,4.0,Awesome phone in this range.,Awesome phone in this range.,23 November 2022
32,4.0,A good product but can't find daily data usage,Battery good.butdaily data usage not found its not good,21 November 2022
33,4.0,This phone is clean no extra add on aaps and settings,Everything is good except camera which can be better as in this range ho for ot clean and clear os,24 November 2022
34,4.0,Battery,Battery backup not good but camera also good,20 November 2022
35,4.0,Comparely good,Nice and good phone compare to samsung.,23 November 2022
36,4.0,Nice,Camera is not that great...,26 November 2022
